Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
b_{cge00010,C05345}, 0.600035628668, 0.924525591142, 0.0249145384886, 2.40850686172e-58, 2.51230149746, 9.74060112578e-10, 0.0157723967055, 0.204128828012, 0.79911736298, 3.27709661466
b_{cge00010,C05378}, 0.607459430022, 0.935667694859, 0.0264228656074, 4.04297028995e-80, 2.55184535656, 3.06148963427e-10, 0.0136294838369, 0.204390869109, 0.807734342942, 3.34005003477
b_{cge00010,C15972}, 0.592163697954, 0.914382480726, 0.0241793471718, 2.88770983247e-120, 2.49065001494, 4.72222313284e-10, 0.0158231792779, 0.206860404099, 0.785815191834, 3.25769404046
b_{cge00010,C15973}, 0.597102761953, 0.924402361863, 0.0252969490394, 2.03318468715e-55, 2.46859167242, 2.86057485532e-10, 0.0161846941155, 0.205159190717, 0.796342376796, 3.25022653422
b_{cge00010,C16255}, 0.622891172962, 0.991081240574, 0.0272136192945, 2.24387746893e-80, 2.56246892568, 2.60220652527e-10, 0.0162896182809, 0.208639377634, 0.829591819951, 3.43502571715
b_{cge00020,C00009}, 0.4825501207, 0.780329369073, 0.0172215992338, 7.77851832772e-46, 2.05910521786, 7.10941152704e-08, 0.0142989134208, 0.151801563093, 0.61375984198, 2.79470521135
b_{cge00020,C00011}, 0.506241450179, 0.804017203031, 0.018855365137, 5.753812833e-46, 2.19235420519, 1.23204391486e-07, 0.0148323062663, 0.162155804998, 0.656012507614, 2.85099542255
b_{cge00020,C00022}, 0.499149088669, 0.80656841807, 0.0180987243437, 2.27261695415e-35, 2.15980022923, 5.79883204987e-08, 0.0155121475156, 0.159259584247, 0.629850012255, 2.82036938788
b_{cge00020,C00026}, 0.493453313169, 0.804234335234, 0.0178795407724, 1.17291892457e-41, 2.08363297846, 1.33822790698e-07, 0.0157502109412, 0.161826025209, 0.616977708658, 2.85342010234
b_{cge00020,C00036}, 0.501115403546, 0.793880096495, 0.0182593594644, 8.87333405422e-32, 2.11098815549, 8.76370797838e-08, 0.0148287736788, 0.166056958225, 0.657491475933, 2.78156290554
b_{cge00020,C00042}, 0.317748281553, 0.461497709491, 0.0136275508764, 1.01395313643e-05, 1.29631952776, 0.000286031371831, 0.0187504413852, 0.12150154758, 0.428089700799, 1.64676790505
b_{cge00020,C00074}, 0.507596261413, 0.800179054752, 0.0176276029825, 7.02198885664e-41, 2.10723888857, 5.42857040215e-08, 0.0165762726241, 0.170233820312, 0.66296100654, 2.77129014295
b_{cge00020,C00080}, 0.501446837946, 0.794596095026, 0.0177524235111, 6.0623901928e-49, 2.13901337638, 1.61222731638e-07, 0.0163874625049, 0.165835136374, 0.646501685482, 2.82006396603
b_{cge00020,C00091}, 0.49376747916, 0.778457053782, 0.0174385863313, 7.37294820526e-35, 2.06978420167, 4.61014750908e-08, 0.0143686613043, 0.166522014362, 0.645974362258, 2.70084624531
b_{cge00020,C00122}, 0.328883005737, 0.482804847311, 0.0127019887642, 2.07965793182e-05, 1.3359220105, 9.56407156501e-05, 0.0176644624595, 0.129528488506, 0.440392532649, 1.69972803993
b_{cge00020,C00149}, 0.499820938587, 0.794983267078, 0.0183836929751, 3.14267860545e-62, 2.1243676658, 1.24681630048e-07, 0.0148630520288, 0.163907628605, 0.651864361933, 2.76913372036
b_{cge00020,C00158}, 0.381299027087, 0.54176054903, 0.0189740127934, 1.17883805495e-06, 1.50489173326, 1.53187848563e-05, 0.017639764012, 0.157940264478, 0.524209917171, 1.94523971935
b_{cge00020,C00311}, 0.380961485573, 0.549034175702, 0.0175870170612, 8.53972550779e-06, 1.5229779035, 4.02840439058e-05, 0.0183208314153, 0.151214915315, 0.52822464801, 1.97880771831
b_{cge00020,C00417}, 0.508367634509, 0.84508476732, 0.0176135481719, 3.26184602799e-39, 2.16801439363, 6.0574292733e-08, 0.0155467999146, 0.159481702463, 0.637477440357, 2.93636693319
b_{cge00020,C05125}, 0.491788267424, 0.788139671821, 0.0168526398881, 1.7182004517e-36, 2.11882512813, 9.37185772722e-08, 0.0157856180037, 0.159473302919, 0.630234173107, 2.76754188961
b_{cge00020,C05379}, 0.492755304692, 0.78923869265, 0.0162011175059, 4.09040702455e-56, 2.1062185059, 4.53778244319e-08, 0.0147717173371, 0.162188637038, 0.629200294867, 2.82239793622
b_{cge00020,C05381}, 0.500847182573, 0.78959511656, 0.0176438051201, 6.89456214057e-39, 2.10127865851, 4.79432617374e-08, 0.015593695198, 0.16662852396, 0.646997120137, 2.6937591526
b_{cge00020,C15602}, 0.505229435693, 0.82122048819, 0.0172065961452, 2.30061246696e-46, 2.20076885674, 4.642611232e-08, 0.0143549161804, 0.159483883787, 0.635829412935, 2.86919698673
b_{cge00020,C15603}, 0.49365397515, 0.767505054729, 0.0171984399379, 1.02651308763e-40, 2.05218465787, 9.53056676279e-08, 0.0153006163477, 0.164598526068, 0.668438708604, 2.6510040548
b_{cge00020,C15972}, 0.488636764893, 0.775544062368, 0.0171759231616, 1.86418690003e-70, 2.04332140443, 5.04278155274e-08, 0.0148486044871, 0.16559390276, 0.632467523006, 2.70778382172
b_{cge00020,C15973}, 0.49197540098, 0.786278926064, 0.0171217362202, 7.64317686928e-40, 2.12869698872, 7.57508698417e-08, 0.0135116635529, 0.157683777813, 0.63816077657, 2.78294924176
b_{cge00020,C16254}, 0.501875459707, 0.797013450446, 0.0171259358791, 2.3161438241e-35, 2.09047347842, 1.59602863032e-07, 0.0164251479121, 0.165369040717, 0.657051620181, 2.857241396
b_{cge00020,C16255}, 0.487803840701, 0.789501512814, 0.0174438777868, 1.80295222779e-43, 2.08138691915, 5.02973366452e-08, 0.0140110093108, 0.156127418272, 0.631153854019, 2.84556827216
b_{cge00030,C00009}, 0.858698363376, 1.17667833425, 0.0293775834316, 8.61475393516e-85, 3.29103418798, 3.07820856085e-08, 0.056260468558, 0.398095465376, 1.18884021901, 4.17389537556
b_{cge00030,C00011}, 0.852167713101, 1.16092114548, 0.0299556648337, 5.83260396454e-80, 3.24233852571, 9.20740173748e-09, 0.0572534625573, 0.396360957782, 1.1943269292, 4.14645217772
b_{cge00030,C00080}, 0.841854071251, 1.14385536669, 0.0305814484221, 1.73942996708e-66, 3.15897148076, 1.41405071846e-08, 0.0571467665373, 0.396615696634, 1.19487238835, 4.01995651956
b_{cge00030,C00084}, 0.859879489564, 1.15957856317, 0.0296682117108, 2.42646313138e-103, 3.22562068551, 2.87538281503e-08, 0.0566357721042, 0.410532622784, 1.2122816427, 4.10304188436
b_{cge00030,C00111}, 0.870660159208, 1.18152404239, 0.030562290773, 1.70879604117e-96, 3.3223560105, 4.99949585011e-08, 0.0583599929382, 0.414830536793, 1.21027836204, 4.1677029814
b_{cge00030,C00117}, 0.876880128131, 1.1788729999, 0.0293572776775, 1.39786618562e-54, 3.28383106149, 1.79587172408e-08, 0.0548355478473, 0.428196709156, 1.23175254107, 4.19153972766
b_{cge00030,C00118}, 0.859942508377, 1.15570998411, 0.0299436803449, 1.50833182458e-88, 3.19029430113, 3.06361370518e-08, 0.057907674871, 0.412296075201, 1.21274160391, 4.11717971487
b_{cge00030,C00119}, 0.846597913449, 1.14723868104, 0.0279903538191, 5.06374359974e-73, 3.20986513357, 9.53427232779e-09, 0.0533998093396, 0.390778385943, 1.19195214736, 4.06805076861
b_{cge00030,C00121}, 0.846456406007, 1.14893608897, 0.0283397273827, 3.13336701077e-87, 3.15327510433, 2.36471517343e-08, 0.0540240387909, 0.395856317339, 1.20760267214, 4.07420224877
b_{cge00030,C00198}, 0.854974571044, 1.16005995689, 0.0286702367467, 1.73374889107e-91, 3.26126206721, 5.50460186274e-08, 0.0584409378993, 0.394842260055, 1.19964250139, 4.03424649198
b_{cge00030,C00199}, 0.867282046979, 1.182443295, 0.0285940005445, 8.8294746537e-131, 3.26085254327, 4.00565352154e-08, 0.0577838640561, 0.416553890806, 1.2106478481, 4.15385960677
b_{cge00030,C00231}, 0.869760958707, 1.17691432189, 0.0299505958789, 1.46672455415e-109, 3.26599589815, 4.5326296066e-08, 0.0610773664657, 0.412714719112, 1.23599392572, 4.22327981544
b_{cge00030,C00257}, 0.929627325132, 0.765272371212, 0.0157099566058, 0.00366615742627, 2.44776334374, 0.056179676167, 0.367435698, 0.723738012453, 1.29160033047, 2.91295421307
b_{cge00030,C00279}, 0.853150895257, 1.16353618862, 0.0294826610036, 1.02432014077e-74, 3.20158734607, 1.03310224197e-08, 0.059311009594, 0.401622761307, 1.17608396397, 4.10901888446
b_{cge00030,C00345}, 0.841056346075, 1.13190570245, 0.0290660271009, 1.54971809881e-137, 3.18320410075, 1.74752645022e-08, 0.0568539281139, 0.398287209016, 1.19379223355, 3.98031663207
b_{cge00030,C00620}, 0.853726913997, 1.16349710079, 0.0306745151159, 1.6909256465e-70, 3.22917849513, 2.1599601189e-08, 0.0610398833602, 0.407486657759, 1.20109038804, 4.06838278463
b_{cge00030,C00668}, 0.850323826105, 1.17182736594, 0.0306940831157, 1.17261634098e-79, 3.24480733101, 2.25616781426e-08, 0.0549997231126, 0.4034922597, 1.17262635195, 4.11315099486
