Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
g_C14453, 0.0615384615385, 0.240315374643, 0.0136535619194, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C14556, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14748, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14749, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14769, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14770, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14771, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14772, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14773, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14774, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14775, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14778, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14781, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14782, 0.0717948717949, 0.258147957921, 0.012034415669, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C14786, 0.00820512820513, 0.0902097781633, 0.00374495545475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14787, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14791, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14800, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14801, 0.0523076923077, 0.222646800186, 0.0140979816435, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C14802, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14812, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14813, 0.0133333333333, 0.114697670227, 0.00558989387916, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14818, 0.111794871795, 0.315113913427, 0.0122545028257, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C14819, 0.0461538461538, 0.209818179954, 0.00802696074274, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
