Precursor Mass,Retention Time,Observation Confidence,Average Observation Score,Compound
continuous,continuous,continuous,continuous,string
,,,,meta
191.0193,14.26,0.80630075406,0.64815037703,C00451
150.0554,16.8,0.851843625056,0.851843625056,C04353
151.0401,52.78,0.0,0.0,C14103
191.02,54.61,0.781407035176,0.781407035176,C04575
179.0562,14.03,0.885187871941,0.885187871941,C06151
264.1249,5.37,0.819245594714,0.819245594714,C04335
335.0387,42.1,0.841754525562,0.841754525562,C19090
118.0508,14.07,0.0,0.0,C03678
251.0795,38.85,0.8768686666,0.6534343333,C05512
373.0605,12.3,0.75,0.75,C18514
250.1088,54.05,0.75,0.395,C01657
259.0221,12.87,0.753821079559,0.753821079559,C03811
303.083,38.8,0.75,0.75,C08740
191.0204,17.48,0.75,0.75,C21095
317.0802,19.13,0.585901804028,0.585901804028,C14286
266.0883,14.09,0.75,0.75,C00330
192.0325,16.7,0.75,0.75,C12468
197.0433,54.36,0.0,0.0,C21086
159.0932,49.51,0.0,0.0,C02548
146.0458,18.64,0.75,0.75,C00025
333.0569,52.9,0.75,0.75,C04641
345.1373,29.45,0.0599807017251,0.0599807017251,C09385
191.0193,14.26,0.828306264501,0.828306264501,C21091
131.035,49.31,0.719691169572,0.719691169572,C03589
142.0661,49.44,0.0,0.0,C02227
159.0662,53.72,0.804780876494,0.804780876494,C04687
147.0297,21.13,0.617252586602,0.617252586602,C02614
102.0556,14.17,0.0,0.0,C02261
137.0251,51.58,0.75,0.51,C00805
385.0924,50.08,0.736462485782,0.736462485782,C20502
331.0607,47.99,0.0,0.0,C10355
179.0562,16.68,0.0548124957228,0.0548124957228,C01825
444.1572,16.8,0.75,0.75,C00101
301.108,16.55,0.622664986012,0.622664986012,C11179
337.0738,16.49,0.614202603657,0.614202603657,C12402
498.9234,12.47,0.859756097561,0.859756097561,C04520
167.0343,36.23,0.0,0.0,C14109
195.0507,14.3,0.81307138689,0.81307138689,C00800
145.0977,12.74,0.75,0.75,C20277
285.0825,13.87,0.355974105692,0.355974105692,C18829
89.0254,20.11,0.38,0.360662240013,C00256
284.1005,14.03,0.75,0.75,C07195
181.0509,50.12,0.770039814521,0.600019907261,C05582
155.0457,16.61,0.820012202563,0.820012202563,C05568
291.0997,52.8,0.75,0.75,C16806
303.0839,41.3,0.857363817721,0.46868190886,C12270
218.1045,44.88,0.363787319739,0.363787319739,C00371
149.0452,15.31,0.0,0.0,C00310
379.1167,49.4,0.062752267845,0.062752267845,C08358
385.0924,50.08,0.768172256447,0.768172256447,C10446
193.0354,52.43,0.826829268293,0.826829268293,C00618
116.0346,17.02,0.0,0.0,C00441
339.0672,53.89,0.0604631206637,0.0604631206637,C17400
190.0514,52.57,0.75,0.75,C16596
179.0562,16.68,0.0656847291948,0.0656847291948,C01720
163.04,24.96,0.0,0.0,C10945
87.0462,47.19,0.0,0.0,C14440
188.0931,46.89,0.322443544582,0.322443544582,C06326
313.0572,46.41,0.75,0.75,C06939
191.0204,17.48,0.801380576714,0.801380576714,C03921
359.1282,25.47,0.777699968876,0.777699968876,C17754
208.0621,49.7,0.53490657415,0.53490657415,C05596
193.0354,52.43,0.75,0.75,C21047
190.0513,41.68,0.751654301183,0.595827150592,C05635
277.0956,52.58,0.72160665452,0.72160665452,C20577
245.1154,48.94,0.589940617894,0.589940617894,C09545
