Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
Y_C00135, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00136, 0.96, 0.195959179423, 0.0391918358845, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00137, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00138, 0.76, 0.427083130081, 0.0854166260163, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00139, 0.64, 0.48, 0.096, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00140, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00141, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00143, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00147, 0.88, 0.324961536185, 0.0649923072371, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00148, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00149, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00151, 0.56, 0.49638694584, 0.0992773891679, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00152, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00153, 0.64, 0.48, 0.096, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00154, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00155, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00157, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00158, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00159, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00160, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00162, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00163, 0.56, 0.49638694584, 0.0992773891679, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00164, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00166, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00168, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00169, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00170, 0.92, 0.271293199325, 0.054258639865, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00177, 0.8, 0.4, 0.08, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00178, 0.72, 0.448998886413, 0.0897997772826, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00179, 0.64, 0.48, 0.096, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00181, 0.76, 0.427083130081, 0.0854166260163, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00183, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00184, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00185, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00186, 0.72, 0.448998886413, 0.0897997772826, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00187, 0.76, 0.427083130081, 0.0854166260163, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00188, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00189, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00190, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00191, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00194, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00195, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00197, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00198, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00199, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00201, 0.72, 0.448998886413, 0.0897997772826, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00208, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00212, 0.76, 0.427083130081, 0.0854166260163, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00213, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00214, 0.68, 0.466476151588, 0.0932952303175, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00217, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00218, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00219, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00221, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00222, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00224, 0.76, 0.427083130081, 0.0854166260163, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00226, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
